campus,sm,tt
MIDDLE COLLEGE H S AT HCC GULFTON,0.515,0.305555556
LAS AMERICAS,0.424,0.483292633
WESLEY EL,0.411,0.366147884
CULLEN MIDDLE,0.387,0.340311177
MIDDLE COLLEGE H S AT HCC FRAGA,0.378,0.404761905
WORTHING H S,0.372,0.430982044
MILNE EL,0.363,0.330321225
REYNOLDS EL,0.361,0.208900507
KASHMERE H S,0.36,0.428760691
HARRIS R P EL,0.36,0.161257272
ISAACS EL,0.358,0.285162853
HILLIARD EL,0.354,0.366642959
H S AHEAD ACADEMY,0.352,0.510396535
KEY MIDDLE,0.346,0.422793858
WOODSON SCHOOL,0.345,0.43954574
LIBERTY H S,0.333,0.266436588
THOMPSON EL,0.328,0.189708192
ATTUCKS MIDDLE,0.326,0.431705111
THOMAS MIDDLE,0.316,0.308723415
WILLIAMS MIDDLE,0.312,0.366152304
WHEATLEY H S,0.312,0.259547501
SHARPSTOWN H S,0.309,0.386706346
FOREST BROOK MIDDLE,0.309,0.262930139
WISDOM H S,0.307,0.369158907
RODERICK R PAIGE EL,0.302,0.376792424
HIGHLAND HTS EL,0.301,0.354928785
ASHFORD EL,0.3,0.214738487
SHADOWBRIAR EL,0.298,0.250868724
YATES H S,0.296,0.298505214
STERLING H S,0.288,0.292692144
NORTH FOREST H S,0.285,0.443417481
WELCH MIDDLE,0.283,0.316938284
SUGAR GROVE ACADEMY,0.281,0.369241824
WASHINGTON B T H S,0.28,0.247209573
PLEASANTVILLE EL,0.276,0.153018416
SHADYDALE EL,0.272,0.299187584
DURKEE EL,0.271,0.30348983
REVERE MIDDLE,0.268,0.269773043
HENDERSON N EL,0.268,0.221914635
LONG ACADEMY,0.264,0.372919609
FOERSTER EL,0.263,0.261489653
EMERSON EL,0.262,0.268240383
BRUCE EL,0.26,0.298262238
BURNET EL,0.258,0.205234947
KASHMERE GARDENS EL,0.257,0.309846958
RAY DAILY EL,0.257,0.223662078
WHIDBY EL,0.256,0.278091928
HARTSFIELD EL,0.254,0.301877993
PINEY POINT EL,0.253,0.15619941
MADISON H S,0.25,0.22265649
FURR H S,0.248,0.239012795
ASKEW EL,0.248,0.144834089
LAWSON MIDDLE,0.247,0.358835055
SCARBOROUGH H S,0.247,0.314688338
FONDREN MIDDLE,0.246,0.42701294
FONDREN EL,0.245,0.279708995
FOSTER EL,0.244,0.215043192
BASTIAN EL,0.241,0.292879135
FLEMING MIDDLE,0.241,0.272302929
BENAVIDEZ EL,0.24,0.280203395
MARK WHITE EL,0.239,0.185714286
FROST EL,0.236,0.270619762
ALCOTT EL,0.235,0.330934156
WESTBURY H S,0.234,0.245393597
FONVILLE MIDDLE,0.234,0.193497371
ELMORE EL,0.233,0.475555556
WAINWRIGHT EL,0.228,0.226706246
HOLLAND MIDDLE,0.227,0.307693476
STEVENS EL,0.227,0.274849172
SMITH EL,0.225,0.207306481
BENBROOK EL,0.225,0.18554388
YOUNG EL,0.223,0.344301552
BLACKSHEAR EL,0.222,0.405103742
HENRY MIDDLE,0.221,0.380763366
BONHAM EL,0.22,0.272931361
MARTINEZ C EL,0.22,0.219789091
MEMORIAL EL,0.219,0.276847535
JEFFERSON EL,0.218,0.309779895
HOUSTON MATH SCIENCE AND TECHNOLOG,0.216,0.278018967
NORTHLINE EL,0.216,0.221103018
LEWIS EL,0.215,0.302566245
COOK JR EL,0.213,0.288318379
MCREYNOLDS MIDDLE,0.212,0.277496525
FRANKLIN EL,0.21,0.296772697
NAVARRO MIDDLE,0.21,0.255554081
WALNUT BEND EL,0.209,0.207801688
TIJERINA EL,0.206,0.210506233
GARCIA EL,0.205,0.350494514
GREGORY-LINCOLN ED CTR,0.204,0.374627369
DOGAN EL,0.203,0.326260541
KELSO EL,0.203,0.241410888
HOBBY EL,0.203,0.225653334
OSBORNE EL,0.202,0.143088681
MITCHELL EL,0.201,0.414571965
DEADY MIDDLE,0.199,0.272050017
MONTGOMERY EL,0.196,0.178034555
LAW EL,0.195,0.316161303
GOLFCREST EL,0.195,0.296355145
RODRIGUEZ EL,0.195,0.194307014
MARTINEZ R EL,0.192,0.206794094
SUTTON EL,0.191,0.147628815
CLIFTON MIDDLE,0.19,0.272736497
SANCHEZ EL,0.189,0.164739461
OATES EL,0.187,0.335685426
NORTHSIDE H S,0.187,0.216867455
LOCKHART EL,0.186,0.245870561
MCGOWEN EL,0.185,0.213084468
PECK EL,0.183,0.247269159
NEFF EL,0.182,0.239619789
PETERSEN EL,0.18,0.332485037
MCNAMARA EL,0.18,0.166435408
BRISCOE EL,0.178,0.194402102
GRISSOM EL,0.175,0.293448172
ROBINSON EL,0.175,0.229117651
MILBY H S,0.175,0.199013464
ANDERSON EL,0.174,0.138027679
MARSHALL MIDDLE,0.173,0.268697021
GROSS EL,0.172,0.224662888
ELROD EL,0.171,0.245339006
LONGFELLOW EL,0.171,0.212626064
TINSLEY EL,0.17,0.312733543
BURRUS EL,0.17,0.239324153
VALLEY WEST EL,0.169,0.194738183
LOOSCAN EL,0.168,0.241145538
ROSS EL,0.168,0.22091756
BROOKLINE EL,0.164,0.188803375
EDISON MIDDLE,0.163,0.265726416
BRAEBURN EL,0.163,0.235850443
