name,x,y,,
Middle College High School at HCC Gulfton,51.50,30.56,,
Las Americas,42.40,48.33,,
Wesley Elementary School,41.10,36.61,,
Cullen Middle School,38.70,34.03,,
Middle College High School at Hcc Fraga,37.80,40.48,,
Worthing High School,37.20,43.10,,
Milne Elementary School,36.30,33.03,,
Reynolds Elementary School,36.10,20.89,,
Kashmere High School,36.00,42.88,,
Harris R P Elementary School,36.00,16.13,,
Isaacs Elementary School,35.80,28.52,,
Hilliard Elementary School,35.40,36.66,,
High School Ahead Academy,35.20,51.04,,
Key Middle School,34.60,42.28,,
Woodson School,34.50,43.95,,
Liberty High School,33.30,26.64,,
Thompson Elementary School,32.80,18.97,,
Attucks Middle School,32.60,43.17,,
Thomas Middle School,31.60,30.87,,
Williams Middle School,31.20,36.62,,
Wheatley High School,31.20,25.95,,
Sharpstown High School,30.90,38.67,,
Forest Brook Middle School,30.90,26.29,,
Wisdom High School,30.70,36.92,,
Roderick R Paige Elementary School,30.20,37.68,,
Highland Heights Elementary School,30.10,35.49,,
Ashford Elementary School,30.00,21.47,,
Shadowbriar Elementary School,29.80,25.09,,
Yates High School,29.60,29.85,,
Sterling High School,28.80,29.27,,
North Forest High School,28.50,44.34,,
Welch Middle School,28.30,31.69,,
Sugar Grove Academy,28.10,36.92,,
Booker T Washington High School,28.00,24.72,,
Pleasantville Elementary School,27.60,15.30,,
Shadydale Elementary School,27.20,29.92,,
Durkee Elementary School,27.10,30.35,,
Revere Middle School,26.80,26.98,,
Henderson N Elementary School,26.80,22.19,,
Long Academy,26.40,37.29,,
Foerster Elementary School,26.30,26.15,,
Emerson Elementary School,26.20,26.82,,
Bruce Elementary School,26.00,29.83,,
Burnet Elementary School,25.80,20.52,,
Kashmere Gardens Elementary School,25.70,30.98,,
Ray Daily Elementary School,25.70,22.37,,
Whidby Elementary School,25.60,27.81,,
Hartsfield Elementary School,25.40,30.19,,
Piney Point Elementary School,25.30,15.62,,
Madison High School,25.00,22.27,,
Furr High School,24.80,23.90,,
Askew Elementary School,24.80,14.48,,
Lawson Middle School,24.70,35.88,,
Scarborough High School,24.70,31.47,,
Fondren Middle School,24.60,42.70,,
Fondren Elementary School,24.50,27.97,,
Foster Elementary School,24.40,21.50,,
